Word,Length,LgSUBTLWF,Ortho_N,Phono_N,BG_Mean,Pron,NPhon,NSyll,POS,I_LexDec_Mean_RT,I_NMG_Mean_RT,AoA,Conc.M,Consist
anonymous,9,2.63,0,0,1661.63,"@.n""A.n@.m@s",8,4,JJ|NN,737.69,648.54,10.26,2.03,NA
anorexia,8,1.15,0,0,1921,"%a.n@`.r""Ek.si@",9,4,NN,888,690.32,13.11,1,NA
another,7,4.41,0,0,2403.5,"@.n""V.D@`",5,3,minor|NN,608.34,563.48,5.05,2.69,NA
another's,9,NULL,0,0,1952.13,"@.n""V.D@`z",6,3,encl,671.24,643.38,NA,NA,NA
answer,6,3.95,0,0,2436.2,"""an.s@`",4,2,NN|VB,572.1,595.19,5.43,2.89,NA
answerable,10,1,0,0,2321.44,"""an.s@`.@.bl=",7,4,JJ,718.1,708.19,9.35,1.93,NA
answered,8,2.89,0,1,3029.71,"""an.s@`d",5,2,VB,698.74,611.87,NA,NA,NA
answering,9,2.85,0,0,3233.63,"""an.s@`.IN",6,3,VB|NN,699.52,618.24,NA,1,NA
answers,7,3.18,0,1,2275,"""an.s@`z",5,2,NN|VB,634.69,621.15,NA,NA,NA
ant,3,2.44,7,9,3250.5,"""ant",3,1,NN,592.87,628.7,4.32,4.86,0.9
antacid,7,1.23,0,0,1945.67,"an.t""a.s@d",7,3,NN,758.85,768.58,12.89,4.25,NA
antagonism,10,1.08,1,0,2103.56,"an.t""a.g@.n%I.zm=",10,5,NN,946.33,832.36,11.81,2.33,NA
antagonisms,11,NULL,1,0,1912.9,"an.t""a.g@.n%I.zm=z",11,5,NN,844.19,945.71,NA,NA,NA
antagonist,10,1.15,1,0,2441.22,"an.t""a.g@.nIst",10,4,NN,808.03,787.42,11.17,2.75,NA
antagonists,11,0.95,1,0,2297.7,"an.t""a.g@.nIsts",11,4,NN,835.3,844.33,NA,NA,NA
Antarctic,9,1.51,0,0,2497.88,"an.t""Ark.tIk",9,3,NN|JJ,985.43,826.95,NA,NA,NA
ante,4,2.05,2,1,3632,"""an.4i",4,2,NN,877.33,813.25,11.70,3,NA
antagonistic,12,1.36,0,0,2640,"an.t%a.g@.n""Ist.Ik",12,5,JJ,955.9,844.36,13.94,2.07,NA
antagonize,10,1.45,0,0,1860.78,"an.t""a.g@.naIz",9,4,VB,790.67,733.76,12.28,2.43,NA
Antarctica,10,1.73,0,0,2420.67,"an.t""Ark.tI.k@",10,4,NN,856.31,830.22,NA,NA,NA
anteater,8,1.08,0,0,3921.29,"""ant.%i4.@`",6,3,NN,952.94,922.14,8.50,4.86,NA
antecede,8,NULL,0,0,2988,"%antI""sid",7,3,VB,886.96,809.29,NA,NA,NA
antecedent,10,0.6,0,0,3083.33,"%an.4I.s""i.dn=t",9,4,NN,818,920.35,15.29,NA,NA
antecedents,11,0.78,0,0,2875.6,"""an.4I.s%i.dn=ts",10,4,NN,920.13,855.85,NA,NA,NA
antechamber,11,0.7,0,0,2325.5,"""an.4i.tS%em.b@`",9,4,NN,946.31,997.53,15.77,NA,NA
antedate,8,NULL,0,0,3498.71,"%an.4i.d""et",7,3,VB,988.09,877.14,NA,NA,NA
antelope,8,1.71,0,0,2359,"""an.4l=.op",6,3,NN,711.13,670.93,8.39,5,NA
antenna,7,2.09,0,1,2750.83,"an.t""E.n@",6,3,NN,726.36,731.93,7.05,4.75,NA
antennae,8,1.46,1,1,2366.43,"an.t""E.ni",6,3,NN,853.07,849.75,NA,4.85,NA
antennas,8,1.36,1,0,2565.29,"an.t""E.n@z",7,3,NN,775.93,782.33,NA,NA,NA
anterior,8,1.69,1,1,3599.14,"an.t""I.ri@`",7,3,JJ,805.79,851.67,14.12,3.5,NA
anteriors,9,NULL,1,0,3332.88,"an""tiri@`z",8,4,NULL,887.35,731.23,NA,NA,NA
anteroom,8,0.95,0,0,3049.14,"""an.4i.r%um",7,3,NN,953,879.25,15.58,NA,NA
anthem,6,1.99,0,0,2116.8,"""an.T@m",5,2,NN,748.55,673.39,9.44,3.36,NA
anthems,7,0.6,0,0,1796.83,"""an.T@mz",6,2,NN,755.28,703.43,NA,NA,NA
anthill,7,1.48,0,0,1993.17,"""ant.h%Il",6,2,NN,835.96,822.46,7.00,4.89,NA
anticipate,10,2.11,0,0,2750.67,"an.t""I.s@.pet",9,4,VB,764.79,697.79,10.60,1.54,NA
anthologize,11,NULL,0,0,1396.9,"an.T""A.l@.dZaIz",9,4,VB,1129.53,1006.92,NA,NA,NA
anthology,9,1.18,0,0,1553.25,"an.T""A.l@.dZi",8,4,NN,813.57,799.39,14.47,3.07,NA
Anthony,7,2.9,0,0,2296.67,"""an.T@.ni",6,3,NN,666.9,631.89,NA,NA,NA
Anthony's,9,NULL,0,0,1865.13,"""an.T@.niz",7,3,encl,705.09,664.15,NA,NA,NA
anthrax,7,1.83,0,0,1879.67,"""an.Traks",7,2,NN,725,664.85,14.26,4.44,NA
anthropocentric,15,NULL,0,0,2000.86,"%an.Tr@.p@.s""En.trIk",14,5,JJ,1062,1101.29,NA,NA,NA
anthropoid,10,0.6,0,0,1471,"""an.Tr@.pOId",8,3,JJ|NN,927.59,844.05,14.33,NA,NA
anthropologists,15,1,0,0,1658.86,"%an.Tr@.p""A.l@.dZIsts",14,5,NN,903.63,744.27,NA,NA,NA
antiaircraft,12,1.42,0,0,1714.18,"%an.4i.""Er.kr%aft",11,4,JJ,1273.13,1039.94,12.06,3.48,NA
anthropological,15,1.43,0,0,1646.64,"%an.Tr@.p@.l""A.dZI.kl=",13,6,JJ,819.27,882.17,14.88,2.29,NA
anthropologist,14,1.73,0,0,1709.08,"%an.Tr@.p""A.l@.dZIst",13,5,NN,902.71,804.19,12.56,4,NA
anthropology,12,1.83,0,0,1404.64,"%an.Tr@.p""A.l@.dZi",11,5,NN,882.58,799.5,14.61,2.41,NA
anthropomorphic,15,NULL,0,0,1512.57,"%an.Tr@.p@.m""Or.fIk",13,5,JJ,1207.65,926.2,NA,2.5,NA
anthropomorphism,16,NULL,0,0,1477.93,"%an.Tr@.p@.m""Or.fI.zm=",14,6,NN,1273.08,1058.33,NA,NA,NA
antibiotic,10,1.53,0,0,2530,"%an.4i.baI.""A.4Ik",10,5,NN|JJ,836.26,720.68,9.53,4.43,NA
antibiotics,11,2.27,0,0,2287.1,"%an.4i.baI.""A.4Iks",11,5,NN,788.84,794.48,9.55,4.45,NA
antibodies,10,1.49,0,0,2287.78,"""an.4I.b%A.4iz",9,4,NN,657.47,651.27,NA,NA,NA
antibody,8,1.15,0,0,1874.43,"""an.4I.b%A.4i",8,4,NN,744.15,744.58,12.47,3.48,NA
antic,5,0.7,1,0,3392.5,"""an.4Ik",5,2,JJ|NN,711.64,706.08,11.65,2.16,NA
anticipated,11,2.13,1,0,2924.1,"an.t""I.s@.p%e4.@d",11,5,VB,683.03,727.58,NA,NA,NA
anticipates,11,0.9,1,0,2924.5,"an.t""I.s@.pets",10,4,VB,763.52,726.29,NA,NA,NA
anticipating,12,1.73,0,0,3268.36,"an.t""I.s@.p%e4.IN",11,5,VB,765.57,686.43,NA,NA,NA
anticipation,12,2.11,0,0,2932,"an.t%I.s@.p""e.Sn=",10,5,NN,818.94,730.19,10.00,1.93,NA
anticipations,13,0.3,0,0,2842.33,"an.t%I.s@.p""e.Sn=z",11,5,NN,811.88,682.84,NA,NA,NA
anticipatory,12,0.85,0,0,2283.18,"an.t""I.s@.pet.%O.ri",12,6,JJ,963.29,950.41,13.94,1.69,NA
anticlerical,12,NULL,0,0,3069.09,"%an.4i.kl""E.rIk.l=",11,5,JJ,1307.67,1059.22,NA,NA,NA
anticlimax,10,0.7,0,0,2173,"%an.4i.kl""aI.maks",11,4,NN,1057.05,875.09,14.88,1.81,NA
antislavery,11,0.3,0,0,2556.6,"%an.4i.sl""ev.@`.ri",11,5,JJ,884.97,804.35,11.06,2.26,NA
anticoagulation,15,0.48,0,0,2625,"""an.4i.ko.%a.gj@.l%e.Sn=",14,7,NN,1151.19,1027.18,16.36,2.76,NA
antics,6,1.71,0,0,2734.2,"""an.4Iks",6,2,NN,827,720.58,9.56,2.6,NA
antidote,8,2.35,0,0,2573.14,"""an.4I.4ot",7,3,NN,758.59,705.5,10.11,3.42,NA
Antietam,8,NULL,0,0,2386.71,"an""tit@m",7,3,NN,824,895.4,NA,NA,NA
antifreeze,10,1.23,0,0,2012.78,"""an.4i.fr%iz",8,3,NN,799.18,692.46,10.05,4.54,NA
antifundamentalist,18,NULL,0,0,2345.59,"""an.4i.f%Vn.4@.m%En4.l=.Ist",17,7,JJ|NN,1275.25,951.45,NA,1.73,NA
Antigua,7,NULL,0,0,2151.67,"an.t""i.g@",6,3,NN,923.5,765,NA,NA,NA
antihero,8,0.3,0,0,3046.86,"""an.4i.h%I.ro",8,4,NN,1069.26,826.67,NA,2.72,NA
antiquate,9,NULL,0,0,2608.25,"""an.4@.kwet",8,3,VB,907.72,917.43,NA,1.8,NA
antique,7,2.49,0,0,2042.67,"an.t""ik",5,2,JJ|NN,679.52,697.89,8.05,3.75,NA
antiques,8,2.14,0,0,2392.14,"an.t""iks",6,2,NN,692.14,737.93,11.05,4.22,NA
antihistamine,13,1.11,0,0,2670.67,"%an.4i.h""I.st@.min",12,5,NN,1015.53,1063.75,12.93,3.68,NA
antimatter,10,1.04,0,0,3250.44,"""an.4i.m%a.4@`",8,4,NN,957.33,1064,14.84,1.77,NA
antipathy,9,0.7,0,0,2331.88,"an.t""I.p@.Ti",8,4,NN,862.92,962.65,13.25,1.55,NA
antipersonnel,13,0.78,0,0,2571.75,"%an.4i.p%3`.sn=.""El",10,5,JJ,1063.8,816.78,12.95,2.33,NA
antiquary,9,NULL,0,0,1986.13,"""an.4@.kw%E.ri",9,4,NN,844.82,929,NA,NA,NA
antiquated,10,1.46,0,0,2816.78,"""an.4@.kw%e4.@d",10,4,JJ,926.95,856.62,13.57,2.22,NA
antiquities,11,1.43,0,0,2498.5,"an.t""I.kw@.4iz",10,4,NN,831.58,929,NA,NA,NA
antiquity,9,1.18,0,0,1896,"an.t""I.kw@.4i",9,4,NN,826.04,801.39,13.18,2.13,NA
antiseptic,10,1.65,0,0,2686,"%an.4i.s""Ep.tIk",10,4,JJ,831.9,811.15,9.95,3.85,NA
antiserum,9,1,0,0,2940.5,"""antI%sir@m",9,4,NN,1523.75,1118.94,13.80,NA,NA
antisocial,10,1.62,0,0,2293.11,"%an.4i.s""o.Sl=",8,4,JJ,939.86,723.88,11.47,1.86,NA
antisubmarine,13,NULL,0,0,2665,"%an.4i.s""Vb.m@`.r%in",12,5,JJ,1509.85,1071.61,NA,NA,NA
antitank,8,0.78,0,0,2728.71,"%an.4i.t""aNk",8,3,JJ,1109.4,816.65,13.80,NA,NA
antithesis,10,1.23,0,0,2830.33,"an.t""I.T@.sIs",9,4,NN,863.11,895.23,13.38,2.27,NA
antithyroid,11,NULL,0,0,1842.6,"""an.4i.T%aI.rOId",9,4,NN,1158.36,1285.5,NA,NA,NA
antitoxin,9,1.28,0,0,2744.63,"%an.4i.t""Ak.sn=",9,4,NN,1049.1,874.83,13.57,3.16,NA
antitrust,9,1.11,0,0,2605,"%an.4i.tr""Vst",9,3,JJ,918.03,781.23,14.88,1.63,NA
antler,6,1.2,1,0,3299.8,"""ant.l@`",5,2,NN,789.19,650.29,6.39,4.86,NA
Antoine,7,NULL,0,0,2897.83,"An.tw""An",6,2,NN,898.06,865.61,NA,NA,NA
Antoine's,9,NULL,0,0,2322.38,"An.tw""Anz",7,2,encl,791.19,782.05,NA,NA,NA
Antoinette,10,1.81,0,0,2645.33,"%an.tw@.n""Et",8,3,NN,957.21,840.13,NA,NA,NA
Antonio,7,2.51,0,0,2749.83,"an.t""o.ni.o",7,4,NN,724.61,784,NA,NA,NA
antonym,7,NULL,0,0,2128.5,"""an.4@.nIm",7,3,NN,835.08,818.47,NA,2.81,NA
ants,4,2.56,4,1,2502.33,"""ants",4,1,NN,547.89,552.52,NA,NA,1
anus,4,1.76,2,1,1740.67,"""e.n@s",4,2,NN,797.15,730.17,11.17,4.86,NA
anvil,5,1.52,0,0,1478.25,"""an.vl=",4,2,NN,772.76,655.12,10.79,4.96,NA
anxieties,9,1.45,0,0,2095.75,"aNg.z""aI@.4iz",9,3,NN,921.76,798.54,NA,NA,NA
anxiety,7,2.54,0,0,1158.17,"aNg.z""aI@.4i",8,3,NN,608.7,678.64,8.17,2.21,NA
anxious,7,2.86,0,0,1548.5,"""aNk.S@s",6,2,JJ,598.76,627.79,10.21,1.68,NA
anxiously,9,1.51,0,0,1408.13,"""aNk.S@s.li",8,3,RB,775.42,743.37,NA,2.08,NA
any,3,4.75,4,7,1819.5,"""E.ni",3,2,minor|RB,647.19,589.92,6.00,1.72,NA
anybody,7,4.06,0,0,855.67,"""E.ni.bA.4i",7,4,NN,658.35,673.96,5.11,2.67,NA
anybody's,9,NULL,0,0,784.38,"""E.ni.bA.4iz",8,4,encl,648.94,643.54,NA,NA,NA
anyhow,6,2.89,0,0,1107,"""E.ni.h%aU",5,3,RB,859.62,677.12,7.75,1.48,NA
anymore,7,3.98,0,0,2006.83,"%E.ni.m""Or",6,3,RB,670.13,681.73,NA,2.04,NA
anyone,6,4.11,0,0,2121.6,"""E.ni.w%Vn",6,3,NN,719.75,635.17,5.36,2.7,NA
anyone's,8,NULL,0,0,1685.71,"""E.ni.w%Vnz",7,3,encl,785.56,664.71,NA,NA,NA
anyplace,8,2.44,0,0,1377.86,"""E.ni.pl%es",7,3,RB,794.68,769.88,NA,2.43,NA
anything,8,4.67,0,0,2415.57,"""E.nI.TIN",6,3,NN,659.59,596.21,6.12,1.38,NA
anyway,6,4.09,0,0,952.6,"""E.ni.w%e",5,3,RB|NN,602.24,706.88,6.31,1.68,NA
anyways,7,2.65,0,0,832.83,"""E.ni.w%ez",6,3,minor|RB|NN,672.79,642.22,NA,1.59,NA
anywhere,8,3.65,0,0,2337.29,"""E.ni.hw%Er",7,3,RB|NN,646.44,638.67,NA,2.21,NA
aorta,5,1.9,0,0,1413.25,"e.""Or.4@",5,3,NN,798.3,752.64,13.06,4.61,NA
Apache,6,2.4,0,0,1340.2,"@.p""a.tSi",5,3,NN,789.52,754.29,10.50,NA,NA
Apaches,7,2.03,0,0,1865,"@.p""a.tSiz",6,3,NN,822.12,850.36,NA,NA,NA
apart,5,3.38,0,0,1484.75,"@.p""Art",5,2,RB,617.97,593,6.64,3.15,NA
apartheid,9,1.3,0,0,1270.88,"@.p""Art.het",8,3,NN,914.17,973.19,15.44,NA,NA
apartment,9,3.63,0,0,1825.75,"@.p""Art.m@nt",9,3,NN,637.47,595.33,7.80,1,NA
apartments,10,2.33,0,0,1734.67,"@.p""Art.m@nts",10,3,NN,702.88,617.41,6.56,4.71,NA
agony,5,2.28,0,0,1476.75,"""a.g@.ni",5,3,NN,657.88,633.26,9.22,2.38,NA
agoraphobia,11,0.9,0,0,1172.3,"%a.g@`.r@.f""o.bi@",10,5,NN,1114.48,1004,14.44,1.92,NA
agrarian,8,0.95,0,0,2154.86,"@.gr""E.ri@n",8,3,JJ|NN,1054.79,852.05,14.83,NA,NA
agree,5,3.52,0,0,1736,"@.gr""i",4,2,VB,589.84,612.52,7.68,2.31,NA
agreeable,9,1.91,1,0,1795.13,"@.gr""i@.bl=",7,3,JJ,767.12,652.44,8.41,2.07,NA
agreeableness,13,NULL,0,0,2209.33,"@.gr""i@.bl=.n@s",10,4,NN,989.04,751.73,NA,2.26,NA
agreeably,9,0.6,1,0,1561.13,"@.gr""i@.bli",8,3,RB,819.31,678,NA,2.03,NA
agreed,6,3.26,1,2,2285.8,"@.gr""id",5,2,VB|JJ,664.03,617.69,NA,1.93,NA
agreeing,8,2.03,0,0,2581.14,"@.gr""i.IN",6,3,VB,665.25,663.22,NA,2.48,NA
agreement,9,2.95,0,0,2066.25,"@.gr""i.m@nt",8,3,NN,668.3,620.46,8.16,2.22,NA
agreements,10,1.62,0,0,1948.44,"@.gr""i.m@nts",9,3,NN,773.12,657.64,NA,NA,NA
agrees,6,2.34,1,2,2286.6,"@.gr""iz",5,2,VB,686.5,640.54,NA,NA,NA
agriculture's,13,NULL,0,0,1382.33,"""a.grI.k%Vl.tS@`z",10,4,encl,873.3,720.52,NA,NA,NA
agricultural,12,1.69,0,0,1548,"%a.grI.k""Vl.tS@`.@l",11,5,JJ,970.21,762.76,10.11,3.29,NA
agriculturally,14,NULL,0,0,1553,"%a.grI.k""Vl.tS@`.@l.i",12,6,RB,1103.17,827.18,NA,2.4,NA
agriculture,11,1.76,0,0,1539.6,"""a.grI.k%Vl.tS@`",9,4,NN,784.26,754.61,10.32,3.67,NA
agriculturalist,15,0.48,0,0,1864.29,"%a.grI.k""Vl.tS@`.@l.Ist",14,6,NN|JJ,995.52,888.08,12.78,4.07,NA
Agrippa,7,NULL,0,0,1089.33,"@""grIp@",6,3,NN,916.3,731,NA,NA,NA
agronomy,8,NULL,0,0,1485.29,"@.gr""A.n@.mi",8,4,NN,1144.4,1181.25,NA,NA,NA
aground,7,1.42,0,0,1494.67,"@.gr""aUnd",6,2,RB,915.53,702.88,NA,3.22,NA
ah,2,4.02,9,9,68,"""A",1,1,minor,829.48,619.65,NA,NA,NA
agriculturist,13,NULL,0,0,1671,"%a.grI.k""Vl.tS@`.Ist",12,5,NN,1085.77,823.35,NA,3.04,NA
ahead,5,4,0,1,1170.75,"@.h""Ed",4,2,RB|minor,722.97,604.58,5.45,3,NA
ahem,4,2.59,1,0,942.67,"@.h""@m",4,2,minor|NN,792.63,681.63,NA,2.58,NA
ahoy,4,2.28,0,1,467,"@.h""OI",3,2,NN,931.5,671.67,7.61,2,NA
aid,3,2.85,11,19,882.5,"""ed",2,1,NN|VB,580.12,564.81,7.33,3.1,0.75
aide,4,2.02,7,19,1455.33,"""ed",2,1,NN,707.21,667.19,7.83,3.59,1
aided,5,1.53,5,3,2212.75,"""e4.@d",4,2,VB|JJ,671.71,641.89,NA,NA,NA
aides,5,1.52,5,4,2213.75,"""edz",3,1,NN,815,632.39,NA,3.75,1
aiding,6,1.74,6,7,2891.2,"""e4.IN",4,2,VB|NN,796.32,690.74,NA,NA,NA
aids,4,1.74,7,4,726.67,"""edz",3,1,NN|VB,616.91,558.89,8.89,3.44,0.8
ail,3,1.08,7,21,1175.5,"""el",2,1,VB,711.85,639.39,9.71,NA,1
ailerons,8,0.7,0,0,2933.43,"""e.l@`.rAnz",7,3,NN,NULL,1218.67,NA,NA,NA
ailing,6,1.43,4,7,3182.6,"""el.IN",4,2,VB,725.8,663.93,10.63,2.81,NA
ailment,7,1.43,0,0,1838.5,"""el.m@nt",6,2,NN,841.62,651,10.37,2.93,NA
ailments,8,1.51,0,0,1719.57,"""el.m@nts",7,2,NN,720,706.6,NA,NA,NA
aim,3,2.88,9,14,902.5,"""em",2,1,NN|VB,646.22,595.96,6.72,3.27,1
aimed,5,2,4,2,2007.75,"""emd",3,1,VB,669.66,581.88,NA,NA,1
aiming,6,2.29,3,4,2798.2,"""em.IN",4,2,VB|NN,678,668.4,NA,3,NA
aimless,7,1.18,2,1,1886.33,"""em.l@s",5,2,JJ,616.91,618.08,10.32,1.57,NA
aimlessly,9,1.34,0,0,1661.5,"""em.l@s.li",7,3,RB,858.33,701.35,NA,1.86,NA
aims,4,1.79,5,5,667.33,"""emz",3,1,VB|NN,635.23,633.46,NA,NA,1
ain't,5,NULL,0,4,2004.5,"""ent",3,1,encl,673.28,575.15,NA,NA,NA
air,3,3.85,5,12,864,"""Er",2,1,NN|VB,589.8,587.54,3.94,1,1
airbase,7,0.78,0,1,1041.67,"""Er.b%es",5,2,NN,766.82,603.32,10.35,4.29,NA
airbed,6,NULL,0,0,1466.6,"""Er.b%Ed",5,2,NN,717.63,643.81,NA,4.56,NA
airbladder,10,NULL,0,0,1689.89,"Er.""blad@`",7,3,NULL,947.43,783.5,NA,NA,NA
airborne,8,2.33,0,0,1179.43,"""Er.b%Orn",6,2,JJ,716.72,592.27,9.85,3.45,NA
airbrake,8,NULL,0,0,986.29,"""Er.brek",6,2,NULL,777.84,700.85,NA,NA,NA
airbus,6,NULL,0,1,795.2,"""Er.b%Vs",5,2,NN|VB,778.37,626.81,NA,NA,NA
aircraft,8,2.68,0,0,922.57,"""Er.kr%aft",7,2,NN,647.3,582.25,7.61,1,NA
aircraft's,10,NULL,0,0,843.33,"""Er.kr%afts",8,2,encl,798.55,690,NA,NA,NA
aircrew,7,0.6,0,0,1301.17,"""Er.kr%u",5,2,NN,833.25,686.48,10.15,4.04,NA
aircushion,10,NULL,0,0,1531.11,"Er.""kUS@n",7,3,NULL,1006.67,935.68,NA,NA,NA
airdrop,7,0.48,0,1,941,"""Er.dr%Ap",6,2,NN|VB,832.61,648.77,9.18,NA,NA
